comision_entrante,iniciativa,estado_actual,id_proyecto,titulo,fecha_radicacion
Comision Segunda de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7651,Por la cual se establecen las jornadas especiales para resolver la situacion militar de los ciudadanos mayores de veinticinco (25) annos y se dictan otras disposiciones. [Libreta militar],2014-07-20
Comision Septima de Senado,Legislativa,Archivado por Transito de Legislatura,7610,Por medio del cual se modifican los articulos 3||6||7||8 y 11 de la Ley 720 de 2001|| y se crean otras disposiciones sobre estimulos para el voluntario|| reconocimiento del dia internacional de los voluntarios. [Voluntariado],2014-07-20
Comision Primera de Camara de Representantes,Legislativa,Retirado por el Autor,7641,Por el cual se modifican los articulos 107 y 134 de la Constitucion Politica. [Silla vacia por corrupcion],2014-07-20
Comision Primera de Camara de Representantes,Legislativa,Retirado por el Autor,7669,Por el cual se distribuyen los Recursos del Sistema General de Regalias y se modifica el articulo 361 de la Constitucion Politica de Colombia. [Sistema General de Regalias],2014-07-20
Comision Primera de Senado,Legislativa,Acumulado,7636,Por el cual se modifican los articulos 190 y 197 de la Constitucion Politica. [Elimina la reeleccion y amplia el periodo presidencial],2014-07-20
Comision Primera de Senado,Legislativa,Retirado por el Autor,7609,Por medio de la cual se modifica el articulo 2 de la Ley 73 de 1988. [Donacion de organos],2014-07-20
Comision Primera de Senado,Legislativa,Acumulado,7659,Por medio del cual se reforma el articulo 267|| 276 y 281 de la Constitucion Politica de Colombia|| sobre la eleccion del Contralor General de la Republica|| el Procurador General de la Nacion y el Defensor del Pueblo. [Eleccion titulares organismos de control],2014-07-20
Comision Sexta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7676,Por medio de la cual se dictan medidas tendientes a fortalecer la regulacion de los Sistemas Integrados y Estrategicos de Transporte Publico en Colombia|| y se dictan otras disposiciones. [Sistemas integrados de transporte],2014-07-20
Comision Sexta de Camara de Representantes,Legislativa,Retirado por el Autor,7657,Por medio de la cual se fortalece el sector de las artes y la cultura y se establece el Plan Nacional de las Artes y la Cultura para la Convivencia. [Plan Nacional de las Artes y la Cultura para la Convivencia],2014-07-20
Comision Septima de Camara de Representantes,Legislativa,Sancionado como Ley,7646,Por la cual se convierte en politica de Estado el Programa de Cero a Siempre. [Programa de Cero a Siempre],2014-07-20
Comision Sexta de Camara de Representantes,Legislativa,Retirado por el Autor,7678,Por medio de la cual se establecen normas tendientes a garantizar la prestacion del servicio de agua potable|| especialmente por medio de Acueductos Comunitarios y se dictan otras disposiciones. [Agua potable],2014-07-20
Comision Sexta de Senado,Legislativa,Retirado por el Autor,7623,Por la cual se implementa el sistema de identificacion biometrico en los aeropuertos|| terminales de transporte terrestre y maritimo a nivel nacional y se dictan otras disposiciones. [Sistema de identificacion biometrica],2014-07-21
Comision Septima de Senado,Legislativa,Archivado por Transito de Legislatura,7619,Por la cual se dictan normas para suprimir y prohibir la contratacion laboral|| mediante cooperativas de trabajo asociado y demas formas de tercerizacion laboral. [Prohibicion tercerizacion laboral],2014-07-21
Comision Septima de Senado,Legislativa,Retirado por el Autor,7630,Por medio de la cual se crea la prima de vivienda con el fin de mejorar las condiciones socioeconomicas de los trabajadores. [Prima de vivienda],2014-07-21
Comision Septima de Senado,Legislativa,Archivado por Transito de Legislatura,7618,Por medio de la cual se incrementan las pensiones de forma anual|| en el mismo porcentaje en que se incrementa el salario minimo legal mensual vigente. [Aumento anual de pensiones],2014-07-21
Comision Septima de Senado,Legislativa,Retirado por el Autor,7621,Por medio del cual se dictan normas de proteccion a la actividad artesanal sostenible|| su promocion|| fomento|| desarrollo y la seguridad social integral del artesano y artesana productor en Colombia. [Promocion artesanos],2014-07-21
Comision Tercera de Senado,Legislativa,Retirado por el Autor,7633,Por medio la cual se establece un alivio de cartera para pequennos y medianos productores agropecuarios|| se adoptan tasas de interes y se determinan garantias crediticias. [Apoyo a pequennos productores],2014-07-21
Comision Sexta de Camara de Representantes,Legislativa,Archivado en Debate,7680,Por medio de la cual se fortalece el Sistema de Atencion en materia de Desarrollo Infantil Temprano|| Educacion Preescolar|| Basica Primaria y Secundaria en areas Urbanas y Rurales y se dictan otras disposiciones. [Sistema de Atencion en materia de Desarrollo Infantil Temprano|| Educacion Preescolar|| Basica Primaria y Secundaria],2014-07-21
Comision Sexta de Senado,Legislativa,Retirado por el Autor,7617,Por la cual se establece la gratuidad en la educacion superior publica y se dictan otras disposiciones. [Educacion superior publica gratuita],2014-07-21
Comision Primera de Senado,Legislativa,Archivado por Transito de Legislatura,7627,Por la cual se modifica y adiciona la Ley 5ª de 1992|| se crea la Comision Legal para asuntos de Bogota Distrito Capital y se dictan otras disposiciones. [Comision Legal para asuntos de Bogota Distrito Capital],2014-07-21
Comision Septima de Senado,Legislativa,Archivado en Debate,7626,Por medio la cual se regula la actividad laboral y se implementan las vacaciones de los trabajadores del sector agricola colombiano y se dictan otras disposiciones. [Vacaciones de trabajadores sector del agro],2014-07-21
Comision Primera de Senado,Legislativa,Archivado por Transito de Legislatura,7629,Por la cual se fortalece el valor del sufragio como un deber ciudadano|| se deroga la Ley 815 de 2003 y modifica la Ley 403 de 1997 ampliando su cobertura. [Estimulos a los electores],2014-07-21
Comision Segunda de Senado,Legislativa,Archivado por Transito de Legislatura,7614,Por la cual se reforma parcialmente la Ley 683 de 2001 y se reconocen honores para los veteranos de las guerras de Peru y Corea. [Veteranos de las guerras de Peru y Corea],2014-07-21
Comision Primera de Senado,Legislativa,Retirado por el Autor,7634,Por medio del cual se reglamenta el Acto Legislativo 02 de 2009. [Cannabis medicinal],2014-07-21
Comision Segunda de Senado,Legislativa,Archivado por Transito de Legislatura,7615,Por medio de la cual se expiden normas para la proteccion y utilizacion de la zona costera del territorio marino costero de la Nacion y se dictan otras disposiciones. [Proteccion costas|| ley de costas],2014-07-21
Comision Septima de Senado,Legislativa,Sancionado como Ley,7631,Por la cual se dictan disposiciones que regulan la operacion del Sistema General de Seguridad Social en Salud y se dictan otras disposiciones. [Regulacion del Sistema de Seguridad Social],2014-07-21
Comision Primera de Senado,Legislativa,Retirado por el Autor,7666,Por medio del cual se crea un Tribunal Nacional pro tempore para la fuerza publica. [Tribunal Nacional pro tempore para la fuerza publica],2014-07-21
Comision Primera de Senado,Legislativa,Archivado por Vencimiento de Terminos,7667,Por el cual se reforma el articulo 221 y se adicionan los articulos 221A y 221B y se modifica el articulo 277 de la Constitucion Politica de Colombia. [Fuero militar],2014-07-21
Comision Quinta de Senado,Legislativa,Archivado por Transito de Legislatura,7632,Por la cual se promueve y regula el aprovechamiento integral y sostenible de la pesca y la acuicultura en los cuerpos de agua lacustres continentales del pais. [Pesca y acuicultura],2014-07-21
Comision Septima de Senado,Legislativa,Archivado por Transito de Legislatura,7616,Por medio de la cual se reglamenta la seguridad social integral para los conductores de transporte individual de pasajeros tipo taxi|| transporte de carga|| especiales|| mixtos y camperos- [Seguridad social conductores],2014-07-21
Comision Sexta de Senado,Legislativa,Archivado por Transito de Legislatura,7622,Por la cual se crea el Programa de Educacion Universitaria por Localidades en Bogota Distrito Capital (PEULB)” y se dictan otras disposiciones. [Programa Educacion Universitaria por Localidades en Bogota|| PEULB],2014-07-21
Comision Septima de Senado,Legislativa,Retirado por el Autor,7620,Por medio del cual se derogan las disposiciones que no lograron los efectos practicos para la generacion de empleo Ley 789 de 2002. [Modificaciones al Codigo Sustantivo de Trabajo],2014-07-21
Comision Segunda de Senado,Legislativa,Retirado por el Autor,7628,Por la cual se declara patrimonio cultural e historico de la Nacion a los municipios de la campanna libertadora de 1819|| con motivo de la celebracion del bicentenario de esta gesta historica y se dictan otras disposiciones. [Patrimonio municipios campanna libertadora],2014-07-21
Comision Sexta de Camara de Representantes,Legislativa,Retirado por el Autor,7672,Por medio de la cual se crea un Fondo Especial de Ingreso Minimo Garantizado y se asigna un bono pensional para los ninnos de familias vulnerables. [Ingreso minimo garantizado],2014-07-21
Comision Sexta de Senado,Legislativa,Retirado por el Autor,7624,Por la cual se establece el subsidio para la adquisicion de decodificadores con el estandar para la trasmision de television digital terrestre (TDT)|| escogido para Colombia y se dictan otras disposiciones. [Subsidio para la adquisicion de decodificadores de TV digital],2014-07-21
Comision Sexta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7681,Por la cual se expiden algunas disposiciones relativas al regimen juridico aplicables a las Empresas de Servicios Publicos Domiciliarios y de Tecnologias de la Informacion y las Comunicaciones. [Servicios publicos domiciliarios],2014-07-21
Comision Quinta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7679,Por medio de la cual se establecen medidas para proteger a los productores agricolas frente a los altos costos de los fertilizantes. [Control costos fertilizantes],2014-07-21
Comision Sexta de Senado,Legislativa,Archivado por Transito de Legislatura,7625,Por la cual se establece periodo de gracia a emisoras comunitarias y de interes publico para sanear situacion juridica|| financiera y tecnica|| se condonan deudas a emisoras indigenas de interes publico y se dictan otras disposiciones. [Periodo de gracia para emisoras comunitarias],2014-07-21
Comision Tercera de Camara de Representantes,Legislativa,Sancionado como Ley,7709,Por medio de la cual se dictan normas en materia de costos de los servicios financieros|| reportes en centrales de riesgo y se dictan otras disposiciones. [Costos de servicios financieros],2014-07-22
Comision Primera de Camara de Representantes,Legislativa,Acumulado,7711,Por medio del cual se implementa el voto obligatorio en Colombia. [Voto obligatorio],2014-07-22
Comision Cuarta de Camara de Representantes,Legislativa,Sancionado como Ley,7702,"Por medio de la cual se declara Patrimonio Inmaterial|| Cultural|| Artistico|| Dancistico y Folclorico de la Nacion|| el desfile el ""Salsodromo"" que se realiza dentro del marco de la Feria de Cali|| y se dictan otras disposiciones. [Salsodromo como patrimonio cultural]",2014-07-22
Comision Primera de Camara de Representantes,Legislativa,Retirado por el Autor,7703,Por medio de la cual se modifica la Ley 403 de 1997 y se dictan otras disposiciones. [Voto obligatorio],2014-07-22
Comision Sexta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7705,Por medio de la cual se modifica el articulo 23 de la Ley 115 de 1994. [Catedra de urbanidad y catedra de democracia],2014-07-22
Comision Primera de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7708,Por medio de la cual se garantizan los derechos de los ninnos|| ninnas o adolescentes en el proceso de custodia|| cuidado personal y visitas cuando los padres no cohabitan. [Derechos de los hijos de padres separados],2014-07-22
Comision Primera de Camara de Representantes,Legislativa,Archivado en Debate,7682,Por medio de la cual se introducen modificaciones a la Ley 906 de 2004 Codigo de Procedimiento Penal|| a la Ley 599 de 2000 Codigo Penal|| y se establecen otras disposiciones. [Elimina beneficios a conductores ebrios],2014-07-22
Comision Primera de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7677,Por la cual se establecen medidas de proteccion al adulto mayor en Colombia|| se modifica la Ley 1251 de 2008|| se penaliza el maltrato intrafamiliar por abandono y se dictan otras disposiciones. [Proteccion adulto mayor],2014-07-22
Comision Tercera de Camara de Representantes,Legislativa,Objetado Por Presidencia,7710,Por medio de la cual se agrega un articulo a la Ley 1480 de 2011 con el fin de proteger al consumidor del servicio de transporte aereo nacional de pasajeros. [Proteccion al consumidor de servicios aereos],2014-07-22
Comision Primera de Senado,Legislativa,Archivado en Debate,7668,Por medio del cual se adicionan los articulos 107|| 122 y 134 de la Constitucion Nacional. [Silla vacia por corrupcion],2014-07-22
Comision Quinta de Senado,Legislativa,Archivado por Transito de Legislatura,7664,Por medio de la cual se introducen medidas para la mitigacion y adaptacion al cambio climatico y se establecen otras disposiciones. [Medidas de mitigacion y adaptacion al cambio climatico],2014-07-22
